imagenet,"[0.946338075640275, 0.9867326283512355, 0.96100643401906]"
stl10,"[0.8995100569687853, 0.9671466313652749, 0.9033385854647682]"
sti10,"[0.9081851649019871, 0.956853116598802, 0.8824969259197222]"
textures,"[0.907131657927638, 0.9815978842752819, 0.9217710185543894]"
isic,"[0.8802570980563388, 0.9139591789272019, 0.8459488335652111]"
chest,"[0.9119716742896035, nan, 0.8121408426709745]"
pcam-middle,"[0.9276771042537597, 0.9615443141974284, nan]"
pcam-small,"[0.9111690712462656, 0.9489951302139602, nan]"
kimia,"[nan, nan, 0.8918353064343505]"
