imagenet,"[0.0037292663086877383, 0.0019274981368697407, 0.0005246513617311015]"
stl10,"[0.0033534256637988186, 0.0028562779627862847, 0.0035719879992183214]"
sti10,"[0.008041489722469031, 0.006242990671145012, 0.00371144962691127]"
textures,"[0.00390128495416545, 0.0015950109528985673, 0.0013945572624895586]"
isic,"[0.006202771347364186, 0.002978772486565552, 0.002972054083763529]"
chest,"[0.005061800400764592, nan, 0.0031247228220523207]"
pcam-middle,"[0.008339751160064553, 0.0035117103759958854, nan]"
pcam-small,"[0.015038743875525716, 0.007878502196418925, nan]"
kimia,"[nan, nan, 0.007899000559463156]"
