,source,target,fold_1,fold_2,fold_3,fold_4,fold_5,mean,std,score_1,distance_1,score_2,distance_2,score_3,distance_3,score_4,distance_4,score_5,distance_5
10,textures,chest,0.9800210304942166,0.9823414020282776,0.9800133244503664,0.9813495962588376,0.9842640681447116,0.981597884275282,0.0015950109528985671,3.3486567826203872,,1.9216220886695774,,1.7289073305670781,,1.8489836915268052,,2.5382703127044515,
11,textures,pcam-middle,0.9225530388356049,0.9231115886884246,0.9229110801514538,0.9195510176526068,0.9207283674438568,0.9217710185543894,0.0013945572624895586,1.6011538523615105,,0.22843970219724977,,0.7798893880700947,,0.5497788050553587,,1.1098020879930668,
12,isic,isic,0.8795637724254185,0.8778258244698117,0.8895403836517624,0.8708202408147496,0.883535268919952,0.8802570980563388,0.006202771347364186,0.0,,0.0,,0.0,,0.0,,0.0,
13,isic,chest,0.9178999022266496,0.9147568287808128,0.9160596639277518,0.9100909433432576,0.9109885563575382,0.913959178927202,0.002978772486565552,-3.202360965474567,,-5.090532055836112,,-4.909712617181499,,-5.546567706616154,,-5.095396787525674,
14,isic,pcam-middle,0.847759954485597,0.8504440718334272,0.8449605451040156,0.8449572137307628,0.8416223826722528,0.8459488335652111,0.002972054083763529,-6.63583995747832,,-7.661561810791922,,-7.732140068259029,,-7.606800156398877,,-7.577223040208376,
15,chest,isic,0.9089283472108004,0.9215038106053868,0.9124768170729984,0.9097539172542948,0.9071954793045368,0.9119716742896036,0.0050618004007645925,3.338538455762949,,4.975700750425705,,2.5784589258417796,,4.470920014803324,,2.677902197781804,
16,chest,chest,0.9482668290073236,0.9638204160189504,0.9633577614923384,0.9635340095597632,0.9598992309340346,0.9597756494024822,0.005929336461372093,0.0,,0.0,,0.0,,0.0,,0.0,
17,chest,pcam-middle,0.8112203249265317,0.8142061725968845,0.8118229555569361,0.8070763819539807,0.8163783783205395,0.8121408426709745,0.003124722822052321,-10.659964715903659,,-11.596154489586723,,-11.350693015520106,,-11.748940378080311,,-10.349393828207697,
18,pcam-middle,isic,0.9343417108244264,0.9171075712503852,0.9365868532230748,0.93223576540401,0.9181136205669024,0.9276771042537596,0.008339751160064553,6.227852955784708,,4.474890768256772,,5.288851460366098,,7.052606463510687,,3.913635693255287,
19,pcam-middle,chest,0.9627649565554264,0.9563383670145827,0.9590236138870384,0.966463256968506,0.963131376561588,0.9615443141974284,0.003511710375995885,1.5289080145595588,,-0.7762907778268678,,-0.44990010757644294,,0.30401079564188427,,0.33671718065742245,
20,pcam-middle,pcam-middle,0.9080143323728228,0.9210076415747972,0.9157690941668212,0.9145231631343722,0.9106222625602336,0.9139872987618094,0.004466474108843578,0.0,,0.0,,0.0,,0.0,,0.0,
21,pcam-small,isic,0.9186540694038308,0.9202925367069008,0.9293588632096452,0.8990248668567546,0.888515020054196,0.9111690712462656,0.015038743875525716,4.44428229127944,,4.837715074370031,,4.476298129874564,,3.2388574266046506,,0.5636165651124839,
22,pcam-small,chest,0.9567435940007748,0.9590347175956768,0.9426493448811905,0.9385947738975616,0.9479532206945972,0.9489951302139602,0.007878502196418925,0.8939219146076144,,-0.49653424473418634,,-2.149608114338389,,-2.588308810562511,,-1.2445066997098537,
26,kimia,pcam-middle,0.881556040648557,0.902520870468155,0.8887113368679824,0.8994660800248052,0.8869222041622521,0.8918353064343505,0.007899000559463156,-2.913862786188081,,-2.007233194616318,,-2.954648444808705,,-1.646440868480729,,-2.6026223355607727,
