,embedding,name
42,"[6.4168335e-04 1.0803194e-03 9.0232585e-05 ... 3.6856213e-07 2.6608776e-08
 2.9229899e-08]",embedding_chest_subset4
43,"[1.5496609e-03 1.4647347e-04 1.1727580e-05 ... 8.9818991e-07 2.8262673e-07
 7.9575921e-07]",embedding_isic_subset24
44,"[3.0513827e-04 3.7100175e-04 1.9118030e-04 ... 1.4905421e-08 9.8936596e-08
 1.3701884e-06]",embedding_pcam-middle_subset63
45,"[2.7563996e-05 1.7490349e-05 1.6197060e-06 ... 2.2049933e-08 2.9039924e-08
 8.4853234e-08]",embedding_sti10_subset55
46,"[2.6063282e-05 2.5402631e-05 3.1266438e-06 ... 9.5542092e-08 7.4464118e-08
 9.4225378e-08]",embedding_sti10_subset3
47,"[1.3051747e-04 2.7944706e-04 1.6416880e-04 ... 1.3440271e-06 4.6623981e-07
 1.5236749e-08]",embedding_pcam-small_subset75
48,"[1.87130226e-03 1.95634598e-03 1.16601856e-04 ... 1.30720409e-07
 1.56509365e-08 1.89034529e-06]",embedding_chest_subset51
49,"[2.5504624e-04 3.5226485e-04 1.5619563e-04 ... 6.4116165e-08 3.4704391e-07
 1.0495659e-06]",embedding_pcam-middle_subset80
50,"[5.2891846e-04 1.1611187e-03 1.0805197e-04 ... 1.9284458e-07 7.0971808e-08
 8.8999224e-07]",embedding_chest_subset0
51,"[3.5841833e-06 1.0567388e-05 1.7502390e-06 ... 3.8845496e-08 2.0372143e-08
 1.5775372e-08]",embedding_textures_subset20
52,"[1.06279746e-04 2.49028904e-04 1.04659026e-04 ... 9.34651439e-07
 5.92380520e-11 9.11729273e-07]",embedding_pcam-small_subset6
53,"[8.8021070e-06 1.3429026e-06 1.7939791e-06 ... 4.1777701e-09 4.3606452e-09
 6.6650361e-09]",embedding_kimia_subset17
54,"[1.9202249e-04 2.7165044e-04 9.9111043e-05 ... 1.6104555e-07 4.6323154e-07
 1.1215940e-06]",embedding_pcam-small_subset96
55,"[8.7769942e-05 4.1242707e-05 4.4065114e-06 ... 1.9166441e-08 1.3645524e-07
 1.0261282e-07]",embedding_isic_subset9
56,"[1.3274218e-05 1.4792412e-05 9.9653369e-07 ... 5.9645878e-08 1.7105563e-08
 3.1838219e-08]",embedding_sti10_subset51
57,"[3.7894093e-05 2.3629400e-05 2.3994169e-06 ... 1.9232925e-08 8.7121244e-08
 3.3821173e-08]",embedding_sti10_subset7
58,"[4.06328991e-06 7.14636280e-06 1.36800475e-06 ... 4.94071362e-09
 1.05419735e-08 6.00693939e-09]",embedding_textures_subset9
59,"[2.2009973e-04 3.3716820e-04 1.4755291e-04 ... 5.2438760e-09 2.5562734e-08
 8.7456954e-07]",embedding_pcam-small_subset71
60,"[1.6987266e-04 7.5050225e-06 6.3172371e-07 ... 6.4914674e-09 1.1721379e-07
 1.8158209e-08]",embedding_isic_subset20
61,"[2.5734867e-04 3.3712076e-04 1.4742157e-04 ... 4.4260230e-07 1.2028443e-07
 5.6015091e-07]",embedding_pcam-middle_subset67
62,"[1.1469100e-03 1.3851909e-03 1.0797947e-04 ... 1.0197277e-08 1.5353761e-06
 3.3243223e-06]",embedding_chest_subset30
63,"[1.6630951e-06 9.8080463e-06 5.5538908e-07 ... 1.9805817e-08 8.8900709e-09
 8.8437400e-09]",embedding_textures_subset41
64,"[2.2063386e-05 6.3175271e-06 7.4084187e-07 ... 1.6560234e-08 2.8539048e-08
 2.0138021e-08]",embedding_stl10_subset86
65,"[1.3425953e-06 1.5393135e-07 4.5321772e-07 ... 5.9765157e-09 1.8929887e-09
 4.0385779e-09]",embedding_kimia_subset76
66,"[4.6372883e-05 1.9124516e-05 2.0372365e-06 ... 5.4261207e-08 2.8636981e-07
 2.9864275e-08]",embedding_sti10_subset30
67,"[1.5777051e-04 1.7902705e-04 7.3485411e-05 ... 1.9621898e-07 4.3789913e-07
 1.5375929e-07]",embedding_pcam-small_subset10
